fips,margin_08,margin_12,margin_16,margin_20
48087,0.5933054393305439,0.682608695652174,0.7261698440207973,0.7331691297208538
48451,0.4169733151488639,0.479179784816711,0.47918853663657357,0.4440168104401681
47001,0.2622426354133671,0.2980655615948145,0.34286579416613394,0.3217036828788305
13259,-0.24798099762470305,-0.27591240875912404,-0.20214320506575745,-0.19145728643216087
21017,0.1722689075630252,0.20445062586926294,0.3160050051188716,0.29995854063018246
29153,0.2682458386683739,0.4084886593307882,0.6476338591424128,0.680921052631579
05095,0.040301536677297745,0.0006191950464396467,0.03687635574837317,0.14133522727272735
48469,0.3356386355283819,0.3777361501370243,0.3999097705594225,0.3796068796068796
19195,-0.2243363871270848,-0.1448225923244026,0.21821631878557873,0.25848800362154817
55037,0.1407821229050279,0.26424474187380503,0.46435307431158057,0.45986394557823135
50001,-0.391672731053124,-0.3965700835061369,-0.33651659845384263,-0.3939242575606212
47089,0.4270451111590762,0.5013948192428124,0.5933452669263978,0.5926913956639567
45011,-0.01653398652786281,-0.05316251387067494,0.05200970566515456,0.07479895358976846
54001,0.2031450577663671,0.3563579277864993,0.547144754316069,0.5480005990714392
47047,0.2742806689519061,0.30666598507310094,0.3719569045892469,0.3769143752175427
48057,0.20017444395987793,0.24236584642751258,0.3622250970245795,0.4446283095723015
30067,0.0228295096716149,0.10528144544822793,0.14918286219081278,0.06412463418832842
37061,0.09425241157556274,0.11813496932515338,0.19198097179748558,0.2212634822804314
48237,0.6807806814422759,0.78328173374613,0.7963462114405511,0.8162347964040191
39135,0.31249404818588705,0.3668382690249248,0.5398290598290598,0.5744875968636801
35005,0.24665340086830678,0.3244218948190067,0.36405575673396495,0.41326917078821906
34031,-0.21721497371861576,-0.27258866906802576,-0.21745223401498692,-0.16532786519859133
47119,0.38418729610439456,0.2691503228348843,0.3922379377209992,0.3653471076151488
30081,0.2083955984241272,0.3208061827549629,0.38557766396228976,0.3631037990668958
21089,0.14103051019116342,0.1865558414143414,0.4549646480172149,0.4506492077464789
05121,0.18135780978002847,0.2789172831203766,0.4883573578330429,0.6077510275983559
20159,0.40213877144988813,0.4781888459414687,0.5562097000280348,0.5318360731650845
47153,0.348169946661762,0.3993386500680801,0.5969648844185635,0.6283783783783783
39157,-0.02430733410942959,0.0979550871910676,0.35447016563560163,0.39915937748494834
21079,0.4307905686546463,0.5156139607178183,0.5846578221463287,0.5655869515276821
05027,0.24136848713119902,0.2361713379164463,0.26207989136584814,0.3117455896007428
28073,0.5578419071518192,0.5458735733099209,0.5562264775218165,0.4684848909766529
16001,0.06182762733971747,0.1132617361846519,0.09239877905995797,0.03912206391990758
55055,-0.008154566093684867,0.07596972992568424,0.1618467063604574,0.15223326872173243
39111,-0.09152105413921513,0.07904493548865488,0.46874065210888416,0.5397313933967542
28119,-0.35244721689059505,-0.4325207338527268,-0.38920369818073364,-0.3480953855682874
26059,0.120103672551225,0.24217808290970078,0.46755533199195165,0.4786713586816582
18087,0.21483510694342012,0.357641499301901,0.5176926298157454,0.5412395372895702
21179,0.13694478121900144,0.16522771422404486,0.3369779875728529,0.36614207086343314
26029,0.034036333263729346,0.14654436860068254,0.24280908903686416,0.1707058823529412
21139,0.2760722839102983,0.38638882731101754,0.577983627746661,0.6137090327737811
47019,0.4715421011530157,0.5197263065948464,0.6404039441718667,0.6146905111873265
45053,-0.22859724418341992,-0.15594034631168052,-0.1188097917839055,-0.007433652910935118
39133,-0.08994194818811851,-0.04885923084196736,0.10159798831927325,0.12463799594555458
19147,-0.027881814398668325,0.10809141445336623,0.36029097133076593,0.37333602258975396
29167,0.3214572534131562,0.4323500266788627,0.5693340141512875,0.5951274561869357
38055,0.19003378378378383,0.30036779730281976,0.5295812524010757,0.5361271676300579
26063,0.003910125474175685,0.14757103574702113,0.3817516405855629,0.39274285404349946
19191,-0.22659574468085109,-0.14769426289034132,0.008380137291610967,0.05122679045092843
08097,-0.4881597431266306,-0.3790776152980877,-0.45412534899393475,-0.5192774107217529
28013,0.27651407449530846,0.2727562569743344,0.3905978861019088,0.4128885519332828
48253,0.46057162534435264,0.5453074433656957,0.6540795684423466,0.6914404391039906
17125,-0.058901292596944765,0.06345663265306123,0.317581221824965,0.39447236180904527
13183,0.24086956521739128,0.22873745377707344,0.3083475298126065,0.26374403394025103
51083,0.028130563798219543,0.05635239752745602,0.1657028207246548,0.1508110477860587
17053,0.29000939555277166,0.42850000000000005,0.4871998727937669,0.47375233712066733
21093,0.2062015503875969,0.20766602060593703,0.3021362466077517,0.23969677775280435
51580,-0.1206457094307562,-0.14770287677114646,0.18362178134233859,0.23665001920860546
20021,0.23714433523021206,0.29502143878037157,0.48390174099689964,0.5008764241893077
48099,0.268983198778093,0.36565766418947493,0.39471506592376016,0.3351638995317156
36095,0.14317455908901544,0.1663736079711965,0.34687919198295586,0.29059611093401333
04025,0.24388848747591518,0.30748011158177496,0.314259538693684,0.292608877721943
48093,0.475177304964539,0.6228303042679191,0.674347158218126,0.7104830759119289
35059,0.42192881745120553,0.4335424985738734,0.5308056872037914,0.5617663499161543
05111,0.2725782038345106,0.3417218543046358,0.24058300208215028,0.597526924611089
38015,0.2356363114047687,0.3212753055322325,0.4615351794171609,0.40186786987961304
49053,0.5347372246562621,0.670420043029779,0.5142160678438281,0.5168663512975817
13007,-0.010669828097214007,-0.0037878787878787845,0.08680555555555552,0.15755627009646306
51595,-0.30760412686282007,-0.33704942400594573,-0.31220954795099287,-0.3603527929441412
05103,0.10853413654618477,0.0863826070076677,0.10393684849711571,0.13490497455602868
48421,0.7421568627450981,0.758188824662813,0.7620578778135049,0.8022199798183652
30007,0.34029590948650995,0.4622296173044925,0.5692605747497579,0.5706614596045887
20119,0.6126359399274988,0.691747572815534,0.706865671641791,0.6904109589041096
40041,0.33797682593412315,0.4131534569983137,0.5414540816326532,0.5848071904899972
35035,0.192777726729762,0.28020159853382887,0.2914544713790996,0.2560773832251496
24009,0.06346324080168875,0.0818155947638019,0.18439406145701465,0.05617771624043005
27051,-0.05658807212205269,0.029098242581388656,0.27772951057051837,0.26518883415435146
19151,0.08426826227873346,0.21793587174348694,0.4515792221352128,0.4951608684279362
01109,0.15227517018989611,0.13729814327381373,0.20284069097888674,0.17383137056571057
08059,-0.08989974988307542,-0.04367468374251621,-0.06995144235273593,-0.1854450825080759
