fips,margin_08,margin_12,margin_16,margin_20,shift_08_to_12,shift_12_to_16,shift_16_to_20
26041,-0.0635228703315149,0.0666740564207726,0.2534791790761899,0.2648101744598364,0.1301969267522875,0.18680512265541727,0.011330995383646514
48295,0.7468152866242037,0.7919520547945206,0.7745839636913767,0.7937915742793792,0.045136768170316866,-0.017368091103143857,0.019207610588002466
01127,0.4642607845874634,0.5292486928448608,0.6744178093902815,0.6791145332050048,0.06498790825739736,0.14516911654542075,0.004696723814723303
48389,-0.0523236919077022,-0.1618416463201953,-0.0760050251256281,0.2329807431516137,-0.1095179544124931,0.0858366211945672,0.3089857682772418
56017,0.4772191673212883,0.5494989979959919,0.6071005917159763,0.5886689949553744,0.07227983067470362,0.05760159371998441,-0.01843159676060191
20043,0.3526936026936026,0.4487978628673196,0.599227569815805,0.6174170935562147,0.09610426017371698,0.15042970694848545,0.018189523740409608
37183,-0.1444674332100984,-0.1025161112745702,-0.2050064586839942,-0.2645315986895209,0.04195132193552818,-0.10249034740942399,-0.05952514000552672
37147,-0.0877891138293894,-0.0672663837321322,-0.073801492384749,-0.0944354995261096,0.020522730097257205,-0.006535108652616806,-0.0206340071413606
48497,0.5572944425602016,0.6746085443649721,0.6992011678358542,0.6816327791854645,0.11731410180477053,0.02459262347088209,-0.017568388650389677
21207,0.5632107023411371,0.6198305299102062,0.7061559172683882,0.6910106085985482,0.056619827569069026,0.08632538735818207,-0.015145308669839985
05053,0.5094950684528191,0.518987341772152,0.5474835886214442,0.6739024390243902,0.009492273319332889,0.028496246849292195,0.12641885040294598
31147,0.2089213709677419,0.3334239130434783,0.5144571740316422,0.5024189646831156,0.12450254207573638,0.18103326098816386,-0.012038209348526507
47123,0.3833224056744352,0.4503063725490195,0.596891495601173,0.6260037505409435,0.0669839668745843,0.14658512305215354,0.029112254939770432
36059,-0.0840268840718796,-0.0667651858410151,-0.0531094023336986,-0.0954714405122965,0.0172616982308645,0.013655783507316499,-0.042362038178597905
01011,-0.4838411819021237,-0.5280180518992101,-0.5086151882578175,-0.4985909386516367,-0.04417686999708642,0.019402863641392654,0.010024249606180813
42057,0.4862036156041864,0.5665256994144436,0.7076968708290079,0.7194433997743512,0.08032208381025724,0.14117117141456426,0.011746528945343337
20031,0.456758034026465,0.5147173743162281,0.5731953558808682,0.5521539470806911,0.05795934028976313,0.058477981564640125,-0.02104140880017713
31151,-0.0457055798895448,0.0591887417218542,0.2542231491136601,0.2846020761245675,0.104894321611399,0.19503440739180591,0.030378927010907386
31035,0.4606000659413122,0.5318930041152263,0.6400941809619913,0.6207282913165266,0.07129293817391413,0.108201176846765,-0.019365889645464707
28033,0.3823671159616311,0.3345515884172054,0.3477398394301959,0.2386554401426922,-0.047815527544425696,0.013188251012990482,-0.10908439928750369
22061,0.1245111841076177,0.1467271002424369,0.1960458636948135,0.1946562905317769,0.0222159161348192,0.049318763452376596,-0.0013895731630365893
40129,0.6791503633314702,0.6750298685782556,0.7935153583617747,0.7966194111232279,-0.004120494753214521,0.11848548978351903,0.003104052761453202
22057,0.4599002454279154,0.4851904454486766,0.5651474402074728,0.60262624482242,0.02529020002076121,0.07995699475879614,0.037478804614947236
40135,0.3600574712643678,0.3908179572860671,0.5421486458405487,0.5900168984791369,0.030760486021699285,0.15133068855448156,0.04786825263858818
51153,-0.1589081910296344,-0.1602578375489846,-0.2003948803622958,-0.2702888764163188,-0.0013496465193501839,-0.04013704281331121,-0.06989399605402302
23031,-0.2052930991837743,-0.1636485268566437,-0.0477352099822748,-0.1262696766132701,0.04164457232713062,0.1159133168743689,-0.07853446663099531
23015,-0.1204132690882134,-0.1167989161989548,-0.0239828294139604,-0.1029075188607272,0.0036143528892585985,0.0928160867849944,-0.0789246894467668
47025,0.3931861804222648,0.5093338573393593,0.6312348215953671,0.6490536886828892,0.11614767691709454,0.12190096425600783,0.017818867087522006
29063,0.2556053811659193,0.4280459770114942,0.5917211328976035,0.5983894280404708,0.17244059584557492,0.1636751558861093,0.006668295142867264
42045,-0.214128429246744,-0.2181944123758947,-0.2198137849679811,-0.2671410247837426,-0.004065983129150713,-0.0016193725920863877,-0.04732723981576148
12119,0.2703405091266268,0.3493410064328355,0.3925817688423854,0.3613558955506298,0.07900049730620867,0.04324076240954988,-0.03122587329175558
36055,-0.1770615895674814,-0.1738998138706806,-0.1411526592621281,-0.2108254533201356,0.0031617756968007893,0.03274715460855249,-0.0696727940580075
18045,0.1435897435897435,0.3416866112910037,0.5599411292480599,0.5666165790132732,0.1980968677012602,0.21825451795705625,0.006675449765213282
39063,0.2311998053054271,0.2829135661133371,0.4077124034529759,0.3753578705733667,0.051713760807910014,0.12479883733963876,-0.032354532879609155
34009,0.0864561817645322,0.0891772326058887,0.1986770025839793,0.1590975782369288,0.002721050841356501,0.1094997699780906,-0.0395794243470505
28047,0.2595993995835822,0.266290055517678,0.3065758102970551,0.2516839122124826,0.0066906559340957905,0.040285754779377125,-0.05489189808457251
05141,0.3170222288527525,0.3949540570004671,0.5393053016453382,0.568848469322403,0.0779318281477146,0.1443512446448711,0.029543167677064774
48343,0.2101753048780488,0.267108598167284,0.4065269943593876,0.3943082155002685,0.05693329328923519,0.1394183961921036,-0.012218778859119095
30073,0.1265164644714038,0.257766272189349,0.3896731054977711,0.3766277128547579,0.1312498077179452,0.13190683330842212,-0.013045392643013243
47181,0.4923104758458476,0.563092633114515,0.7389592605272167,0.7459889038836407,0.07078215726866738,0.17586662741270176,0.007029643356423976
